Symbol,Company,Earnings Call Time,EPS Estimate,Reported EPS,Surprise(%)
ASNA,Ascena Retail Group Inc,After Market Close,,,
CDMOP,Avid Bioservices Inc,TAS,,,
ABIL,Ability Inc,Before Market Open,,,
EDSA,Edesa Biotech Inc,After Market Close,,,
TOL,Toll Brothers Inc,After Market Close,1.3,,
CPPXF,Continental Energy Corp,Time Not Supplied,,,
COE,China Online Education Group,TAS,,,
CASY,Caseys General Stores Inc,After Market Close,2.15,,
ROYT,Pacific Coast Oil Trust,After Market Close,0.05,,
CHWY,Chewy Inc,TAS,-0.16,,
HURC,Hurco Companies Inc,After Market Close,,,
SFIX,Stitch Fix Inc,TAS,-0.06,,
GNSS,Genasys Inc,After Market Close,,,
LRAD,Genasys Inc,After Market Close,,,
GRIF,Griffin Industrial Realty Inc,Time Not Supplied,,,
PPIH,Perma-Pipe International Holdings Inc,Time Not Supplied,,,
LAKE,Lakeland Industries Inc,TAS,0.14,,
THO,Thor Industries Inc,TAS,1.23,,
MDB,MongoDB Inc,TAS,-0.28,,
TOPS,Top Ships Inc,TAS,,,
MTN,Vail Resorts Inc,After Market Close,-2.98,,
JT,Jianpu Technology Inc,Time Not Supplied,,,
PHR,Phreesia Inc,After Market Close,-0.08,,
IMKTA,Ingles Markets Inc,Before Market Open,,,
